,ASN,# Transparent Forwarders,Δ Last Week [#],Δ Last Week [%],Δ Last Week [Rank]
0,4812,19950,84,0,0
1,45804,16257,-85,-1,0
2,58659,13533,266,2,0
3,52444,8724,-89,-1,0
4,52426,8119,-6,0,0
5,5769,7917,111,1,0
6,37403,6325,-3,0,0
7,22921,6143,-1,0,0
8,37455,6077,0,0,1
9,209,6000,-141,-2,-1
10,150008,5016,15,0,0
11,27881,4662,-7,0,0
12,28100,4419,-2,0,0
13,18229,3153,-341,-10,0
14,47849,3056,476,18,0
15,63526,2473,326,15,5
16,56456,2318,0,0,-1
17,29600,2313,-2,0,-1
18,134019,2304,1,0,-1
19,134236,2274,-9,0,-1
20,34984,2165,43,2,1
21,19901,2083,-71,-3,-2
22,135125,2046,0,0,1
23,57583,2044,0,0,1
24,61784,2042,0,0,1
25,197025,2042,-4,0,-3
26,263408,2037,0,0,0
27,264375,2018,1109,122,85
28,5483,1914,-7,0,-1
29,134863,1879,189,11,3
30,264100,1870,-26,-1,-2
31,133647,1806,-25,-1,-2
32,48326,1776,0,0,-2
33,134866,1700,0,0,-2
34,133676,1619,-22,-1,-1
35,139567,1568,0,0,-1
36,5639,1548,3,0,-1
37,207620,1536,1536,0,0
38,135881,1535,-1,0,-2
39,52830,1509,15,1,-1
40,7303,1463,3,0,-1
41,136284,1415,-19,-1,-1
42,4808,1382,-7,-1,-1
43,135628,1353,-7,-1,-1
44,47524,1319,-207,-14,-7
45,3257,1299,-28,-2,-2
46,61689,1291,-6,0,-2
47,28198,1288,20,2,-1
48,45235,1281,0,0,-3
49,138235,1249,76,6,1
