,ASN,# Transparent Forwarders,Δ Last Week [#],Δ Last Week [%],Δ Last Week [Rank]
0,41876,179,88,97,2
1,17639,146,-3,-2,-1
2,30873,132,1,1,-1
3,7713,67,4,6,0
4,139008,56,40,250,6
5,24342,51,10,24,0
6,7029,47,-6,-11,-2
7,206863,33,11,50,0
8,393735,25,-10,-29,-2
9,9299,18,2,12,2
10,9658,18,-1,-5,-2
11,10620,16,1,7,1
12,3462,15,1,7,5
13,265583,15,0,0,2
14,14080,15,0,0,-1
15,132669,15,0,0,-1
16,17995,14,-3,-18,-7
17,9341,14,3,27,4
18,5384,13,1,8,2
19,46029,12,3,33,15
20,23679,12,0,0,-1
21,21021,12,0,0,-3
22,12389,11,1,10,2
23,13489,10,-4,-29,-7
24,6167,9,0,0,9
25,4787,9,-1,-10,-3
26,262913,9,6,200,93
27,50629,9,0,0,5
28,133799,8,2,33,24
29,8048,8,1,14,15
30,8151,8,-1,-11,-4
31,5713,8,2,33,33
32,4812,8,-1,-11,-1
33,45700,8,2,33,25
34,17451,8,1,14,9
35,7303,8,-2,-20,-12
36,18302,8,0,0,0
37,4134,8,-2,-20,-12
38,40867,7,-2,-22,-11
39,46644,7,0,0,3
40,262940,7,0,0,1
41,42337,7,1,17,18
42,132199,7,2,40,24
43,272962,7,0,0,-5
44,141127,7,-1,-12,-7
45,25472,7,0,0,0
46,174,7,1,17,2
47,6147,7,-1,-12,-12
48,3302,7,1,17,7
49,4800,7,-2,-22,-20
